occInspec_inspection|dateReceived|GENERATEinspectionDate|amount
887|2017-04-10 00:00:00|2017-04-10 00:00:00|60
888|None|2017-04-06 00:00:00|60
889|None|2017-04-06 00:00:00|60
890|2017-04-20 00:00:00|2017-04-06 00:00:00|60
891|2017-04-25 00:00:00|2017-04-06 00:00:00|60
895|2017-04-13 00:00:00|2017-04-06 00:00:00|60
896|2017-04-13 00:00:00|2017-04-05 00:00:00|60
902|2017-04-18 00:00:00|2017-04-07 00:00:00|60
906|2017-04-25 00:00:00|2017-04-24 00:00:00|60
907|2017-04-25 00:00:00|2017-04-24 00:00:00|60
908|None|2017-04-24 00:00:00|60
909|None|2017-04-24 00:00:00|60
910|2017-04-28 00:00:00|2017-04-24 00:00:00|60
911|None|2017-04-24 00:00:00|60
916|2017-04-27 00:00:00|2017-05-01 00:00:00|60
919|2017-05-01 00:00:00|2017-05-01 00:00:00|60
922|None|2017-05-01 00:00:00|60
928|2017-05-04 00:00:00|2017-05-04 00:00:00|60
934|2017-05-11 00:00:00|2017-05-09 00:00:00|60
939|2017-05-09 00:00:00|2017-05-01 00:00:00|60
960|None|2017-05-15 00:00:00|60
