inspectionID|permitComments|dateIssued|temporaryPermit
344|2016-002|2016-09-13 00:00:00|False
345|2016-001|None|False
346|2016-002|None|False
347|2016-1|2016-09-13 00:00:00|False
348|2016-1 #9|2016-09-26 00:00:00|False
349|2016-1 #1|2016-09-26 00:00:00|False
350|2016-1 #7|None|False
351|2016-001|None|False
352|2016-1|None|False
353|2016-001|None|False
354|2016-001|None|False
355|2016-001|None|False
356|2016-001|None|False
357|2016-1|None|False
358|2016-1|None|False
359|2016-2nd floor-01|2016-09-27 00:00:00|False
360|2016-2nd floor-01|None|False
361|2016-1|None|False
362|2016-apt B-01|2016-11-29 00:00:00|False
363|2016-apt C-01|2016-11-29 00:00:00|False
364|2016-apt3-01|None|False
365|2016-2nd floor-01|2016-09-28 00:00:00|False
366|2016-01|None|False
367|092316-01|2016-09-23 00:00:00|False
368|092716-01|None|False
369|2016-01|2016-10-06 00:00:00|False
370|2016-1st floor-01|None|False
371|2016-4-01|2016-10-03 00:00:00|False
372|2016-3-01|2016-10-03 00:00:00|False
373|2016-1-01|None|False
374|10/3/2016|2016-10-03 00:00:00|False
375|10/3/2016|None|False
376|2016-01|None|False
377|2016-01|None|False
378|10/4/003|None|False
379|2016-01|None|False
380|10/4/2014|None|False
381|10/4/2016|None|False
382|2016-01|2016-11-08 00:00:00|False
383|2016-01|None|False
384|2016-01|None|False
385|2016-01|None|False
386|2016-01|None|False
387|10/4/001|None|False
388|10/4/002|None|False
389|10/5/001|None|False
390|10/6/2016|None|False
391|2016-01|2016-10-07 00:00:00|False
392|10/4/003|2016-10-07 00:00:00|False
393|100716-02|2016-10-07 00:00:00|False
394|100716-01|2016-10-07 00:00:00|False
395|093016-01|2016-10-21 00:00:00|False
396|10/6/002|None|False
397|2016-01|None|False
398|101116-01|2016-10-17 00:00:00|False
399|101116-02|2016-10-11 00:00:00|False
400|2016-21-1|None|False
401|2016-1-1|2016-11-08 00:00:00|False
402|2016-6-1|None|False
403|2016-01|None|False
404|2106-6-1|2016-10-13 00:00:00|False
405|10/18/001|None|False
406|2016-01-apt 1|None|False
407|2016-01-apt2|None|False
408|101316-01|2016-10-13 00:00:00|False
411|101416-01|2016-10-21 00:00:00|False
412|101416-02|2016-10-25 00:00:00|False
413|2016-apt|2016-10-17 00:00:00|False
414|2016-01|None|False
415|2016-01-127|None|False
416|2016-121-01|2016-10-18 00:00:00|False
417|2016-aptb-01|None|False
418|2016-aptc-01|None|False
419|10/17/16|None|False
420|101816-01|2016-11-07 00:00:00|False
421|091616-02|2016-10-18 00:00:00|False
422|2016-01|None|False
423|2016-01|None|False
424|2016-2-01|2016-10-20 00:00:00|False
425|2016-1-01|None|False
426|2016-01|None|False
427|2016-01|None|False
428|0802160-02|2016-10-21 00:00:00|False
429|2016-A-02|None|False
430|2016-1112-01|None|False
431|10/25/ 001|None|False
432|2016-1|2016-10-25 00:00:00|False
433|102516-01|2016-10-25 00:00:00|False
434|2016-592-01|2016-10-26 00:00:00|False
435|2016-594-1|2016-10-26 00:00:00|False
436|10/26/003|None|False
437|10/26/004|2016-10-26 00:00:00|False
438|2016-594-01|2016-10-26 00:00:00|False
439|10/26/005|2016-10-26 00:00:00|False
440|10/26/002|2016-10-26 00:00:00|False
441|10/26/001|2016-10-26 00:00:00|False
442|10/27/001|None|False
443|10/17/004|None|False
444|2016-1|None|False
445|10/17/002|2016-10-17 00:00:00|False
446|10/17/003|2016-10-17 00:00:00|False
447|2016-3-1|None|False
448|2016-A-02|2016-10-31 00:00:00|False
449|2016-01|2016-10-31 00:00:00|False
450|2016-01|None|False
451|2016-01-apt1|None|False
452|2016-01|None|False
453|2016-22-1|2016-11-01 00:00:00|False
454|2016-12-1|2016-11-08 00:00:00|False
455|2016-354-1|None|False
456|2016-3-1|2016-11-01 00:00:00|False
457|2016- front-1|None|False
458|2016-apt1-01|None|False
459|2016-apt2-01|None|False
460|2016-1|2016-11-01 00:00:00|False
461|2016-01|2016-11-01 00:00:00|False
